,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
56588,Saint-Laurent,Saint-Laurent,5,0,0,,0,0,FALSE,1609037,,Montréal,Montréal,45.49334427,-73.75242749,Halpern,-1,0.013202444,rue
56607,Saint-Laurent,Saint-Laurent,0,2915,2880,,2997,3000,FALSE,1609041,,Montréal,Montréal,45.49563644,-73.7514937,Diab,0,0.009857185,rue
56608,Saint-Laurent,Saint-Laurent,0,2626,2701,,2900,2927,FALSE,1609042,,Montréal,Montréal,45.49413835,-73.75142226,Sabourin,0,0.010578292,rue
56612,Saint-Laurent,Saint-Laurent,0,2626,2701,,2900,2927,FALSE,1609042,,Montréal,Montréal,45.49351403,-73.74800133,Sabourin,0,0.005296728,rue
56620,Saint-Laurent,Saint-Laurent,0,2975,2900,,3035,3300,FALSE,1609050,,Montréal,Montréal,45.4981747,-73.74451555,De Baene,0,0.039656795,rue
56623,Saint-Laurent,Saint-Laurent,0,2975,2900,,3035,3300,FALSE,1609050,,Montréal,Montréal,45.50027464,-73.74551426,De Baene,0,0.033176552,rue
56625,Saint-Laurent,Saint-Laurent,7,9091,0,,9191,0,FALSE,1609052,,Montréal,Montréal,45.49984896,-73.7483326,Henri-Bourassa,1,0.027373645,boulevard
56626,Saint-Laurent,Saint-Laurent,7,0,9000,,0,9200,FALSE,1609053,,Montréal,Montréal,45.50094578,-73.74651869,Henri-Bourassa,-1,0.030772383,boulevard
56628,Saint-Laurent,Saint-Laurent,0,3001,2970,,3015,3090,FALSE,1609057,,Montréal,Montréal,45.49899214,-73.74351657,Brabant-Marineau,0,0.037869922,rue
56629,Saint-Laurent,Saint-Laurent,0,2825,0,,2827,0,FALSE,1609058,,Montréal,Montréal,45.49840036,-73.74252117,Brabant-Marineau,0,0.038919007,rue
56630,Saint-Laurent,Saint-Laurent,7,0,3500,,0,3560,FALSE,1609068,,Montréal,Montréal,45.49969937,-73.75206639,Pitfield,-1,0.021989118,boulevard
56635,Saint-Laurent,Saint-Laurent,7,0,7600,,0,7750,FALSE,1609074,,Montréal,Montréal,45.5066033,-73.73871183,Henri-Bourassa,-1,0.050505352,boulevard
56637,Saint-Laurent,Saint-Laurent,7,7715,0,,7755,0,FALSE,1609075,,Montréal,Montréal,45.50672247,-73.73890469,Henri-Bourassa,1,0.050971483,boulevard
56641,Saint-Laurent,Saint-Laurent,6,5905,0,,6745,0,FALSE,1609082,,Montréal,Montréal,45.50297116,-73.73685709,Thimens,1,0.053872541,boulevard
56642,Saint-Laurent,Saint-Laurent,6,0,6000,,0,7820,FALSE,1609083,,Montréal,Montréal,45.50254461,-73.7374395,Thimens,-1,0.052345327,boulevard
56643,Saint-Laurent,Saint-Laurent,5,3805,4700,,4105,4700,FALSE,1609088,,Montréal,Montréal,45.51092778,-73.73666785,Sartelon,0,0.065943259,rue
56661,Saint-Laurent,Saint-Laurent,6,7171,0,,9279,0,FALSE,1609089,,Montréal,Montréal,45.50661551,-73.74271801,Thimens,1,0.052031977,boulevard
56668,Saint-Laurent,Saint-Laurent,6,0,7900,,0,8000,FALSE,1609090,,Montréal,Montréal,45.50855453,-73.74640031,Thimens,-1,0.062521702,boulevard
56673,Saint-Laurent,Saint-Laurent,0,4775,4700,,4855,4900,FALSE,1609094,du,Montréal,Montréal,45.49881933,-73.73798452,Bois-Franc,0,0.04581261,chemin
56679,Saint-Laurent,Saint-Laurent,7,7007,0,,7575,0,FALSE,1609099,,Montréal,Montréal,45.50970484,-73.73479032,Henri-Bourassa,1,0.061599689,boulevard
56680,Saint-Laurent,Saint-Laurent,0,4525,4522,,4563,4568,FALSE,1609101,,Montréal,Montréal,45.50814015,-73.73233711,Félix-Leclerc,0,0.063396101,avenue
56682,Saint-Laurent,Saint-Laurent,0,3015,0,,3035,0,FALSE,1609102,,Montréal,Montréal,45.50760581,-73.73305526,Jean-Gascon,0,0.065296126,rue
56684,Saint-Laurent,Saint-Laurent,0,0,3100,,0,3170,FALSE,1609103,,Montréal,Montréal,45.50430968,-73.73518555,Guénette,0,0.058473804,rue
56685,Saint-Laurent,Saint-Laurent,0,0,3000,,0,3002,FALSE,1609105,,Montréal,Montréal,45.50224688,-73.7318359,Guénette,0,0.05277274,rue
56686,Saint-Laurent,Saint-Laurent,0,0,4200,,0,4220,FALSE,1609106,du,Montréal,Montréal,45.50101449,-73.73385223,Bois-Franc,0,0.051273956,chemin
56687,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609109,du,Montréal,Montréal,45.50061287,-73.73443279,Bois-Franc,0,0.052752874,chemin
56688,Saint-Laurent,Saint-Laurent,0,2911,2924,,2999,3004,FALSE,1609112,,Montréal,Montréal,45.50671165,-73.73529192,Guy-Hoffmann,0,0.072675427,rue
56692,Saint-Laurent,Saint-Laurent,0,2861,2864,,2903,2908,FALSE,1609115,,Montréal,Montréal,45.50513193,-73.7335216,Guy-Hoffmann,0,0.06967965,rue
56708,Saint-Laurent,Saint-Laurent,7,0,6600,,0,6850,FALSE,1609119,,Montréal,Montréal,45.50960323,-73.73461649,Henri-Bourassa,-1,0.061198693,boulevard
56709,Saint-Laurent,Saint-Laurent,7,6565,0,,6869,0,FALSE,1609120,,Montréal,Montréal,45.51181039,-73.73057656,Henri-Bourassa,1,0.065335159,boulevard
56718,Saint-Laurent,Saint-Laurent,0,3085,0,,3117,0,FALSE,1609126,,Montréal,Montréal,45.51314982,-73.72668474,Saint-Charles,0,0.061577031,rue
56719,Saint-Laurent,Saint-Laurent,0,3085,0,,3117,0,FALSE,1609126,,Montréal,Montréal,45.51310294,-73.72763047,Saint-Charles,0,0.06295016,rue
56720,Saint-Laurent,Saint-Laurent,0,2795,2800,,2865,2872,FALSE,1609127,,Montréal,Montréal,45.51196877,-73.72656404,Marette,0,0.05828443,rue
56723,Saint-Laurent,Saint-Laurent,7,6500,0,,6500,0,FALSE,1609131,,Montréal,Montréal,45.51184636,-73.72654733,Henri-Bourassa,-1,0.058610087,boulevard
56725,Saint-Laurent,Saint-Laurent,7,0,0,,0,0,FALSE,1609133,,Montréal,Montréal,45.5119013,-73.72855386,Henri-Bourassa,1,0.061900697,boulevard
56726,Saint-Laurent,Saint-Laurent,0,2901,0,,2909,0,FALSE,1609135,,Montréal,Montréal,45.51208691,-73.72857188,MacQueen,0,0.062350547,place
56728,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609138,,Montréal,Montréal,45.5134293,-73.72918115,Noorduyn,0,0.065847299,place
56730,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609138,,Montréal,Montréal,45.51319812,-73.72927444,Noorduyn,0,0.066429992,place
56731,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609139,,Montréal,Montréal,45.51453598,-73.73150204,Noorduyn,0,0.071269162,rue
56754,Saint-Laurent,Saint-Laurent,0,3025,3004,,3145,3076,FALSE,1609140,,Montréal,Montréal,45.51378846,-73.72744397,Biret,0,0.063002587,rue
56755,Saint-Laurent,Saint-Laurent,0,3001,3000,,3077,3078,FALSE,1609141,,Montréal,Montréal,45.51425864,-73.72574525,Marcel,0,0.059298983,rue
56773,Saint-Laurent,Saint-Laurent,0,3087,3080,,3157,3148,FALSE,1609142,,Montréal,Montréal,45.51467703,-73.72901809,Marcel,0,0.066981268,rue
56794,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609149,,Montréal,Montréal,45.51439166,-73.72981304,Saint-Charles,0,0.068451565,rue
56805,Saint-Laurent,Saint-Laurent,0,2661,2660,,2675,2670,FALSE,1609155,,Montréal,Montréal,45.5171225,-73.72216358,Marcel,0,0.056897305,rue
56806,Saint-Laurent,Saint-Laurent,0,2661,2660,,2675,2670,FALSE,1609155,,Montréal,Montréal,45.51653167,-73.72289723,Marcel,0,0.05466369,rue
56807,Saint-Laurent,Saint-Laurent,0,2677,2700,,2705,2702,FALSE,1609156,,Montréal,Montréal,45.51600229,-73.72359018,Marcel,0,0.052720104,rue
56809,Saint-Laurent,Saint-Laurent,6,0,2770,,0,2892,FALSE,1609159,,Montréal,Montréal,45.51501673,-73.72225179,Toupin,-1,0.049160984,boulevard
